"Our AI";"1";"25";"7";"11";"2.25";"1";"4";"1";"1";"0";"1"
"Richard-Alphonse";"0";"15";"0";"0";"2.142857142857143";"2";"2";"2";"1";"0";"0"
"Random";"0";"9";"0";"2";"2.25";"1";"2";"0";"1";"0";"0"
"Our AI";"1";"20";"4";"4";"2.0";"3";"1";"3";"1";"0";"0"
"Random";"0";"10";"0";"2";"3.3333333333333335";"1";"0";"1";"0";"0";"1"
"Richard-Alphonse";"0";"9";"0";"0";"1.8";"1";"3";"1";"0";"0";"0"
"Richard-Alphonse";"1";"34";"9";"2";"3.125";"1";"4";"1";"1";"0";"1"
"Our AI";"0";"16";"0";"10";"2.6666666666666665";"1";"3";"1";"1";"0";"0"
"Random";"0";"12";"0";"0"
"Richard-Alphonse";"1";"22";"4";"0";"2.25";"0";"5";"2";"1";"0";"0"
"Our AI";"0";"13";"0";"4";"1.8571428571428572";"2";"2";"2";"0";"0";"1"
"Random";"0";"8";"0";"4";"2.0";"2";"1";"1";"0";"0";"0"
"Richard-Alphonse";"1";"24";"4";"0";"2.5";"1";"4";"2";"1";"0";"0"
"Our AI";"0";"21";"5";"4";"2.0";"1";"3";"2";"1";"0";"1"
"Random";"0";"13";"2";"5";"2.75";"0";"1";"2";"0";"0";"1"
"Richard-Alphonse";"1";"30";"7";"1";"2.875";"2";"1";"2";"2";"0";"1"
"Our AI";"0";"22";"5";"3";"2.125";"2";"3";"1";"1";"0";"1"
"Random";"0";"21";"3";"6";"2.5714285714285716";"1";"2";"1";"2";"0";"1"
"Our AI";"1";"25";"4";"3";"2.625";"3";"2";"2";"1";"0";"0"
"Random";"0";"15";"0";"1";"3.0";"1";"0";"1";"2";"0";"1"
"Richard-Alphonse";"0";"11";"0";"1";"2.2";"1";"2";"1";"1";"0";"0"
"Our AI";"1";"22";"4";"2";"2.25";"3";"2";"2";"1";"0";"0"
"Richard-Alphonse";"0";"13";"0";"1";"2.1666666666666665";"0";"2";"2";"1";"0";"1"
"Random";"0";"5";"0";"8";"5.0";"0";"0";"0";"0";"0";"1"
"Richard-Alphonse";"1";"20";"3";"1";"2.8333333333333335";"1";"1";"1";"1";"0";"2"
"Our AI";"0";"19";"4";"8";"1.875";"2";"3";"2";"1";"0";"0"
"Random";"0";"5";"0";"2";"5.0";"0";"0";"0";"0";"0";"1"
"Our AI";"1";"32";"7";"3";"3.125";"1";"2";"2";"1";"0";"2"
"Richard-Alphonse";"0";"19";"3";"1";"3.2";"1";"1";"1";"1";"0";"1"
"Random";"0";"15";"0";"9";"3.0";"1";"2";"1";"1";"0";"0"
"Our AI";"1";"26";"4";"1";"2.75";"3";"3";"1";"1";"0";"0"
"Richard-Alphonse";"0";"11";"0";"2";"1.8333333333333333";"2";"1";"2";"1";"0"
"Random";"0";"9";"0";"4";"3.0";"0";"1";"1";"1";"0";"0"
"Our AI";"1";"24";"4";"5";"2.5";"2";"3";"2";"0";"0";"1"
"Richard-Alphonse";"0";"13";"0";"1";"1.8571428571428572";"2";"3";"2";"0";"0";"0"
"Random";"0";"12";"2";"5";"3.3333333333333335";"0";"2";"0";"0";"0";"1"
"Our AI";"1";"23";"4";"1";"2.375";"1";"3";"2";"2";"0";"0"
"Richard-Alphonse";"0";"13";"0";"8";"2.1666666666666665";"1";"3";"1";"1";"0";"0"
"Random";"0";"6";"0";"3";"3.0";"1";"1";"0";"0";"0";"0"
"Our AI";"1";"26";"7";"4";"2.375";"2";"2";"1";"2";"0";"1"
"Richard-Alphonse";"0";"18";"0";"0";"3.6";"1";"2";"1";"1";"0";"0"
"Random";"0";"8";"0";"0";"2.6666666666666665";"0";"3";"0";"0";"0";"0"
"Our AI";"1";"22";"4";"10";"2.25";"2";"3";"2";"1";"0";"0"
"Richard-Alphonse";"0";"20";"0";"1";"2.857142857142857";"0";"3";"1";"2";"0";"1"
"Random";"0";"5";"0";"3";"2.5";"0";"0";"1";"1";"0";"0"
"Our AI";"1";"22";"7";"1";"1.875";"2";"1";"2";"2";"0";"1"
"Richard-Alphonse";"0";"13";"3";"2";"1.6666666666666667";"1";"1";"2";"1";"0";"1"
"Random";"0";"13";"0";"1";"2.6";"0";"2";"2";"0";"0";"1"
"Richard-Alphonse";"1";"24";"3";"2";"3.0";"1";"3";"1";"1";"0";"1"
"Our AI";"0";"22";"4";"3";"2.25";"1";"3";"2";"2";"0";"0"
"Random";"0";"11";"0";"5";"2.75";"1";"2";"1";"0";"0";"0"
"Richard-Alphonse";"1";"31";"7";"0";"3.0";"1";"2";"2";"2";"0";"1"
"Our AI";"0";"20";"2";"6";"2.25";"1";"2";"2";"3";"0";"0"
"Random";"0";"13";"0";"9";"2.6";"1";"2";"1";"1";"0";"0"
"Richard-Alphonse";"1";"36";"9";"0";"3.375";"1";"2";"1";"1";"0";"3"
"Our AI";"0";"23";"2";"5";"3.5";"2";"2";"0";"0";"0";"2"
"Random";"0";"10";"0";"3";"2.0";"1";"2";"2";"0";"0";"0"
"Richard-Alphonse";"1";"19";"4";"1";"1.875";"3";"3";"1";"1";"0";"0"
"Our AI";"0";"10";"0";"4";"2.0";"1";"1";"2";"1";"0";"0"
"Random";"0";"9";"0";"8";"3.0";"0";"1";"1";"1";"0";"0"
"Our AI";"1";"31";"7";"1";"3.0";"2";"2";"1";"1";"0";"2"
"Richard-Alphonse";"0";"22";"3";"0";"2.7142857142857144";"1";"1";"2";"1";"0";"2"
"Random";"0";"15";"0";"2";"2.5";"1";"3";"1";"1";"0";"0"
"Our AI";"1";"27";"4";"5";"2.875";"2";"4";"1";"0";"0";"1"
"Richard-Alphonse";"0";"14";"0";"3";"2.8";"1";"2";"2";"0";"0";"0"
"Random";"0";"6";"0";"1";"2.0";"1";"1";"1";"0";"0";"0"
"Our AI";"1";"22";"4";"8";"2.25";"2";"3";"2";"1";"0";"0"
"Richard-Alphonse";"0";"11";"0";"1";"2.2";"1";"2";"1";"1";"0";"0"
"Random";"0";"8";"0";"1";"2.6666666666666665";"1";"1";"1";"0";"0";"0"
"Richard-Alphonse";"1";"27";"4";"1";"2.875";"2";"3";"0";"2";"0";"1"
"Our AI";"0";"22";"5";"1";"2.125";"1";"2";"3";"1";"0";"1"
"Random";"0";"11";"0";"3";"2.75";"1";"1";"2";"0";"0";"0"
"Our AI";"1";"25";"7";"6";"2.25";"1";"3";"2";"1";"0";"1"
"Richard-Alphonse";"0";"14";"0";"0";"2.0";"1";"2";"3";"0";"0";"1"
"Random";"0";"8";"0";"5";"4.0";"0";"1";"0";"0";"0";"1"
"Our AI";"1";"25";"4";"13";"2.625";"1";"4";"2";"1";"0";"0"
"Richard-Alphonse";"0";"15";"0";"2";"2.142857142857143";"2";"3";"1";"1";"0";"0"
"Random";"0";"14";"0";"3";"3.5";"0";"3";"0";"1";"0";"0"
"Our AI";"1";"23";"4";"3";"2.375";"2";"3";"3";"0";"0";"0"
"Richard-Alphonse";"0";"15";"0";"0";"2.142857142857143";"3";"3";"1";"0";"0";"0"
"Random";"0";"7";"0";"3";"3.5";"0";"2";"0";"0";"0";"0"
"Richard-Alphonse";"1";"24";"7";"0";"2.125";"2";"3";"1";"1";"0";"1"
"Our AI";"0";"12";"0";"4";"1.7142857142857142";"1";"3";"2";"1";"0";"0"
"Random";"0";"12";"0";"9";"3.0";"2";"1";"0";"0";"0";"1"
"Our AI";"1";"25";"4";"1";"2.625";"3";"3";"1";"1";"0";"0"
"Richard-Alphonse";"0";"16";"0";"0";"2.6666666666666665";"1";"2";"0";"2";"0";"1"
"Random";"0";"5";"0";"6";"2.5";"0";"1";"1";"0";"0";"0"
"Richard-Alphonse";"1";"27";"4";"1";"2.875";"2";"5";"0";"1";"0";"0"
"Our AI";"0";"20";"2";"14";"2.25";"2";"5";"1";"0";"0";"0"
"Random";"0";"11";"0";"4";"3.6666666666666665";"0";"1";"1";"0";"0";"1"
"Our AI";"1";"28";"4";"3";"3.0";"2";"2";"3";"1";"0";"0"
"Richard-Alphonse";"0";"8";"0";"0";"2.0";"1";"2";"1";"0";"0";"0"
"Random";"0";"5";"0";"5";"5.0";"1";"0";"0";"0";"0";"0"
"Our AI";"1";"30";"7";"1";"2.875";"2";"1";"1";"2";"0";"2"
"Richard-Alphonse";"0";"12";"0";"1";"1.7142857142857142";"2";"2";"2";"1";"0";"0"
"Random";"0";"10";"0";"4";"2.5";"1";"1";"1";"0";"0";"1"
"Our AI";"1";"23";"4";"4";"2.375";"2";"5";"0";"1";"0";"0"
"Richard-Alphonse";"0";"18";"0";"1";"2.5714285714285716";"0";"4";"2";"1";"0";"0"
"Random";"0";"16";"0";"5";"3.2";"1";"1";"1";"2";"0";"0"
"Richard-Alphonse";"1";"19";"4";"1";"1.875";"2";"2";"3";"1";"0";"0"
"Our AI";"0";"16";"0";"5";"2.2857142857142856";"1";"3";"0";"2";"0";"1"
"Random";"0";"9";"0";"3";"3.0";"0";"2";"0";"1";"0";"0"
"Our AI";"1";"24";"4";"4";"2.5";"2";"3";"2";"1";"0";"0"
"Richard-Alphonse";"0";"19";"0";"1";"2.7142857142857144";"2";"2";"3";"0";"0";"0"
"Random";"0";"12";"0";"0";"3.0";"1";"1";"0";"1";"0";"1"
"Richard-Alphonse";"1";"24";"4";"0";"2.5";"0";"5";"1";"2";"0";"0"
"Our AI";"0";"19";"3";"3";"2.2857142857142856";"1";"3";"1";"1";"0";"1"
"Random";"0";"10";"0";"0";"3.3333333333333335";"0";"0";"1";"1";"0";"1"
"Our AI";"1";"17";"4";"7";"1.625";"2";"3";"2";"1";"0";"0"
"Richard-Alphonse";"0";"12";"0";"2";"2.0";"1";"3";"2";"0";"0";"0"
"Random";"0";"5";"0";"2";"2.5";"0";"1";"0";"1";"0";"0"
"Richard-Alphonse";"1";"23";"4";"1";"2.375";"2";"4";"1";"1";"0";"0"
"Random";"0";"11";"0";"3";"3.6666666666666665";"0";"1";"0";"2";"0";"0"
"Our AI";"0";"9";"0";"2";"1.5";"2";"2";"2";"0";"0";"0"
"Our AI";"1";"26";"7";"2";"2.375";"1";"4";"1";"1";"0";"1"
"Richard-Alphonse";"0";"15";"0";"0";"2.142857142857143";"2";"2";"2";"0";"0";"1"
"Random";"0";"7";"0";"0";"2.3333333333333335";"1";"1";"0";"1";"0";"0"
"Richard-Alphonse";"1";"29";"4";"0";"3.125";"3";"4";"0";"0";"0";"1"
"Our AI";"0";"15";"0";"5";"2.5";"1";"4";"1";"0";"0";"0"
"Random";"0";"9";"0";"3";"3.0";"1";"0";"1";"0";"0";"1"
"Our AI";"1";"17";"4";"10";"1.625";"2";"3";"2";"1";"0";"0"
"Richard-Alphonse";"0";"15";"0";"1";"2.142857142857143";"2";"3";"1";"1";"0";"0"
"Random";"0";"12";"0";"11";"3.0";"0";"3";"0";"0";"0";"1"
"Our AI";"1";"27";"7";"3";"2.5";"1";"3";"1";"2";"0";"1"
"Richard-Alphonse";"0";"19";"3";"0";"2.6666666666666665";"1";"2";"1";"1";"0";"1"
"Random";"0";"11";"0";"5";"2.2";"1";"1";"2";"1";"0";"0"
"Our AI";"1";"23";"4";"3";"2.375";"3";"2";"2";"1";"0";"0"
"Richard-Alphonse";"0";"12";"0";"0";"1.7142857142857142";"3";"2";"2";"0";"0";"0"
"Random";"0";"4";"0";"11";"2.0";"2";"0";"0";"0";"0";"0"
"Our AI";"1";"28";"4";"6";"3.0";"2";"3";"0";"2";"0";"1"
"Richard-Alphonse";"0";"21";"3";"1";"2.5714285714285716";"1";"3";"1";"1";"0";"1"
"Random";"0";"13";"0";"9";"2.6";"1";"3";"0";"0";"0";"1"
"Our AI";"1";"21";"4";"2";"2.125";"1";"3";"3";"1";"0";"0"
"Richard-Alphonse";"0";"16";"0";"2";"2.2857142857142856";"1";"2";"3";"1";"0";"0"
"Random";"0";"3";"0";"10";"1.5";"1";"0";"1";"0";"0";"0"
"Richard-Alphonse";"1";"28";"7";"0";"2.625";"1";"3";"1";"2";"0";"1"
"Our AI";"0";"6";"0";"5";"1.5";"1";"2";"1";"0";"0";"0"
"Random";"0";"3";"0";"7";"3.0";"0";"0";"1";"0";"0";"0"
"Our AI";"1";"23";"4";"8";"2.375";"2";"2";"2";"2";"0";"0"
"Richard-Alphonse";"0";"13";"0";"0";"1.8571428571428572";"3";"1";"2";"0";"0";"1"
"Random";"0";"6";"0";"8";"2.0";"1";"2";"0";"0";"0";"0"
"Our AI";"1";"21";"4";"1";"2.125";"3";"2";"1";"2";"0";"0"
"Richard-Alphonse";"0";"17";"3";"0";"2.0";"1";"2";"2";"1";"0";"1"
"Random";"0";"3";"0";"1";"1.0";"1";"1";"1";"0";"0";"0"
"Richard-Alphonse";"1";"32";"6";"1";"3.25";"0";"3";"1";"1";"0";"3"
"Our AI";"0";"26";"4";"3";"2.75";"1";"1";"3";"0";"0";"3"
"Random";"0";"16";"2";"2";"3.5";"1";"2";"0";"0";"0";"1"
"Richard-Alphonse";"1";"21";"2";"1";"2.7142857142857144";"0";"4";"2";"0";"0";"1"
"Our AI";"0";"21";"4";"9";"2.125";"1";"4";"2";"1";"0";"0"
"Random";"0";"10";"2";"3";"4.0";"0";"0";"1";"0";"0";"1"
"Our AI";"1";"21";"4";"3";"2.125";"2";"3";"3";"0";"0";"0"
"Richard-Alphonse";"0";"13";"0";"0";"1.8571428571428572";"1";"2";"3";"1";"0";"0"
"Random";"0";"11";"0";"9";"3.6666666666666665";"1";"1";"0";"1";"0";"0"
"Our AI";"1";"22";"2";"4";"2.5";"2";"2";"2";"2";"0";"0"
"Richard-Alphonse";"0";"21";"4";"0";"2.125";"2";"4";"1";"0";"0";"1"
"Random";"0";"4";"0";"8";"2.0";"0";"1";"0";"1";"0";"0"
"Richard-Alphonse";"1";"24";"4";"4";"2.5";"3";"3";"1";"0";"0";"1"
"Our AI";"0";"20";"0";"4";"2.857142857142857";"2";"2";"2";"0";"0";"1"
"Random";"0";"6";"0";"3";"3.0";"0";"2";"0";"0";"0";"0"
"Our AI";"1";"18";"4";"5";"1.75";"1";"3";"3";"1";"0";"0"
"Richard-Alphonse";"0";"17";"3";"0";"2.0";"2";"2";"1";"1";"0";"1"
"Random";"0";"9";"0";"9";"4.5";"0";"0";"0";"2";"0";"0"
"Our AI";"1";"23";"4";"5";"2.375";"1";"2";"3";"2";"0";"0"
"Richard-Alphonse";"0";"14";"0";"2";"2.8";"1";"2";"0";"2";"0";"0"
"Random";"0";"6";"0";"1";"3.0";"0";"1";"1";"0";"0";"0"
"Our AI";"1";"23";"7";"9";"2.0";"1";"3";"2";"1";"0";"1"
"Richard-Alphonse";"0";"8";"0";"1";"2.0";"2";"1";"1";"0";"0";"0"
"Random";"0";"4";"0";"2";"2.0";"0";"2";"0";"0";"0";"0"
"Richard-Alphonse";"1";"28";"7";"1";"2.625";"1";"3";"2";"1";"0";"1"
"Our AI";"0";"26";"5";"1";"2.625";"1";"2";"2";"2";"0";"1"
"Random";"0";"15";"0";"2";"3.75";"0";"0";"1";"2";"0";"1"
"Our AI";"1";"21";"4";"3";"2.125";"2";"2";"3";"1";"0";"0"
"Richard-Alphonse";"0";"13";"0";"2";"1.8571428571428572";"3";"2";"1";"1";"0";"0"
"Random";"0";"13";"0";"7";"3.25";"0";"2";"1";"0";"0";"1"
"Our AI";"1";"35";"9";"4";"3.25";"2";"1";"2";"1";"0";"2"
"Richard-Alphonse";"0";"13";"0";"1";"1.8571428571428572";"2";"2";"2";"0";"0";"1"
"Random";"0";"7";"0";"9";"2.3333333333333335";"1";"0";"2";"0";"0";"0"
"Our AI";"1";"21";"4";"8";"2.125";"1";"4";"2";"1";"0";"0"
"Richard-Alphonse";"0";"20";"0";"0";"4.0";"0";"2";"0";"2";"0";"1"
"Random";"0";"8";"0";"6";"4.0";"0";"1";"0";"1";"0";"0"
"Our AI";"1";"18";"4";"7";"1.75";"3";"3";"1";"1";"0";"0"
"Richard-Alphonse";"0";"14";"0";"0";"2.0";"3";"1";"2";"1";"0";"0"
"Random";"0";"8";"0";"15";"2.0";"1";"2";"1";"0";"0";"0"
"Richard-Alphonse";"1";"23";"0";"0";"3.2857142857142856";"0";"4";"2";"0";"0";"1"
"Our AI";"0";"20";"4";"9";"2.0";"1";"3";"4";"0";"0";"0"
